"Skipping Salary Structure Assignment for the following employees, as Salary Structure Assignment records already exists against them. {0}",Дараах ажилтнуудын цалингийн бүтцийн хуваарилалт тэдний эсрэг аль хэдийн байгаа тул цалингийн бүтцийн хуваарилалтыг алгасаж байна. {0},
Staffing Plan {0} already exist for designation {1},Ажилтны төлөвлөгөө {0} нь {1}-д зориулагдсан,
"Start and end dates not in a valid Payroll Period, cannot calculate {0}","Эхлэх болон дуусах огноо нь хүчинтэй цалингийн хугацаанд биш, {0}-г тооцоолох боломжгүй",
"Start and end dates not in a valid Payroll Period, cannot calculate {0}.","Эхлэх болон дуусах огноо нь хүчинтэй цалингийн хугацаанд биш, {0}-г тооцох боломжгүй.",
Stock Options,Хувьцааны сонголтууд,
Structures have been assigned successfully,Бүтцүүдийг амжилттай томилсон,
Submit Proof,Нотлох баримт илгээх,
Submit Salary Slip,Цалингийн хуудас өгөх,
Submit this to create the Employee record,Ажилтны бүртгэлийг үүсгэхийн тулд үүнийг илгээнэ үү,
Submitting Salary Slips...,Цалингийн хуудас илгээж байна...,
Team Updates,Багийн шинэчлэлтүүд,
Thank you,Баярлалаа,
The day(s) on which you are applying for leave are holidays. You need not apply for leave.,Таны чөлөө авах хүсэлт гаргаж буй өдөр(үүд) нь амралтын өдрүүд юм. Та чөлөө авах хүсэлт гаргах шаардлагагүй.,
There are more holidays than working days this month.,Энэ сард ажлын өдрүүдээс олон амралтын өдрүүд тохиож байна.,
There is no leave period in between {0} and {1},{0}-с {1} хооронд амралтын хугацаа байхгүй,
This is based on the attendance of this Employee,Энэ нь тухайн ажилтны ирц дээр үндэслэсэн болно,
This will submit Salary Slips and create accrual Journal Entry. Do you want to proceed?,"Энэ нь Цалингийн хуудсаа илгээж, аккруэл журналын бичилт үүсгэх болно. Та үргэлжлүүлэхийг хүсэж байна уу?",
To date can not be equal or less than from date,Өнөөдрийг хүртэл огноотой тэнцүү эсвэл бага байж болохгүй,
To date can not be less than from date,Өнөөдрийг хүртэл огнооноос бага байж болохгүй,
To date can not greater than employee's relieving date,Өнөөдрийг хүртэл ажилтны чөлөөлөгдсөн өдрөөс хэтрэхгүй байх ёстой,
Total Absent,Нийт байхгүй,
Total Deduction,Нийт хасалт,
Total Leaves,Нийт навч,
Total Present,Нийт одоогийн,
Total advance amount cannot be greater than total sanctioned amount,Урьдчилгаа нийт хэмжээ зөвшөөрөгдсөн нийт дүнгээс их байж болохгүй,
Total flexible benefit component amount {0} should not be less than max benefits {1},Уян хатан тэтгэмжийн бүрэлдэхүүн хэсгийн нийт дүн {0} нь хамгийн их ашиг {1}-ээс бага байж болохгүй.,
Total leaves allocated is mandatory for Leave Type {0},Амралтын төрөл {0}-д хуваарилагдсан нийт навч заавал байх ёстой.,
Total working hours should not be greater than max working hours {0},Ажлын нийт цаг хамгийн их ажлын цагаас хэтрэхгүй байх ёстой {0},
Training,Сургалт,
Training Event,Сургалтын арга хэмжээ,
Training Events,Сургалтын арга хэмжээ,
Training Feedback,Сургалтын санал хүсэлт,
Training Result,Сургалтын үр дүн,
Travel,Аялал,
Update Response,Хариуг шинэчлэх,
Value missing,Утга дутуу байна,
Variable,Хувьсагч,
Walk In,Орох,
Warning: Leave application contains following block dates,Анхааруулга: Өргөдөл гаргах нь дараах блок огноог агуулна,
Website Listing,Вэб сайтын жагсаалт,
Work Summary for {0},{0}-н ажлын хураангуй,
You are not authorized to approve leaves on Block Dates,Та Блокны огнооны навчийг зөвшөөрөх эрхгүй,
You are not present all day(s) between compensatory leave request days,Та нөхөн олговор олгох хүсэлт гаргасан өдрүүдийн хооронд өдөржингөө байхгүй байна,
You can only submit Leave Encashment for a valid encashment amount,Та зөвхөн хүчинтэй мөнгөн дүнгээр чөлөөний мөнгө өгөх боломжтой,
{0} already allocated for Employee {1} for period {2} to {3},{2}-с {3} хүртэлх хугацаанд {1} ажилтанд {0} аль хэдийн хуваарилагдсан байна,
{0} applicable after {1} working days,{0} ажлын {1} өдрийн дараа хэрэгжинэ,
{0} is not in Optional Holiday List,{0} нэмэлт амралтын жагсаалтад байхгүй,
{0} is not in a valid Payroll Period,{0} хүчинтэй цалингийн хугацаанд биш байна,
{0} must be submitted,{0} оруулах ёстой,
"{0}: Employee email not found, hence email not sent","{0}: Ажилтны имэйл олдсонгүй, тиймээс имэйл илгээгээгүй",
{0}: From {0} of type {1},{0}: {1} төрлийн {0}-с,
Conditions,Нөхцөл байдал,
Percent,Хувь,
Error in some rows,Зарим мөрөнд алдаа гарсан,
Benefit,Ашиг тус,
Shift,Шилжилт,
Importing {0} of {1},{1}-с {0}-г импортлож байна,
'employee_field_value' and 'timestamp' are required.,'ажилтны_талбайн_үнэ' болон 'цаг хугацааны тамга' шаардлагатай.,
Allocation Expired!,Хуваарилалтын хугацаа дууссан!,
Attendance Marked,Ирцийг тэмдэглэсэн,
Attendance has been marked as per employee check-ins,Ажилчдын бүртгэлд хамрагдсанаар ирцийг тэмдэглэсэн,
Date Range,Огнооны хүрээ,
Event Link,Үйл явдлын холбоос,
Expire Allocation,Хуваарилалтын хугацаа дуусах,
Fuel Expense,Шатахууны зардал,
Intermediate,Дунд зэрэг,
Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay,Амралтаас чөлөө авах хүсэлтийг чөлөө олгохтой {0} холбосон. Амрах өргөдлийг цалингүй чөлөө гэж тохируулах боломжгүй,
Log Type is required for check-ins falling in the shift: {0}.,Бүртгэлийн төрөл нь ээлжийн бүртгэлд ороход шаардлагатай: {0}.,
No Employee found for the given employee field value. '{}': {},Өгөгдсөн ажилтны талбарт ямар ч ажилтан олдсонгүй. '{}': {},
No Leaves Allocated to Employee: {0} for Leave Type: {1},Ажилтанд ямар ч чөлөө хуваарилагдаагүй: Амралтын төрөлд {0}: {1},
Only expired allocation can be cancelled,Зөвхөн хугацаа нь дууссан хуваарилалтыг цуцалж болно,
Only users with the {0} role can create backdated leave applications,Зөвхөн {0} үүрэг бүхий хэрэглэгчид буцаагдсан чөлөөний аппликейшн үүсгэх боломжтой,
Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,Нууц үгийн бодлого нь хоосон зай эсвэл нэгэн зэрэг зураас агуулж болохгүй. Формат автоматаар өөрчлөгдөнө,
Please enter the designation,Тодорхойлолтыг оруулна уу,
There are no vacancies under staffing plan {0},Ажилтны төлөвлөгөөний дагуу сул орон тоо байхгүй байна {0},
This employee already has a log with the same timestamp.{0},Энэ ажилтан аль хэдийн ижил цагийн тэмдэгтэй бүртгэлтэй байна.{0},
Timing,Хугацаа,
To date needs to be before from date,Өнөөдрийг хүртэл огнооноос өмнө байх шаардлагатай,
Total Early Exits,Нийт эрт гарах,
Total Late Entries,Нийт хоцорсон оруулгууд,
Training Event:,Сургалтын арга хэмжээ:,
Unable to find Salary Component {0},Цалингийн бүрэлдэхүүн хэсэг {0} олдохгүй байна,
Unmarked Attendance for days,Өдрийн тэмдэглэлгүй ирц,
Vacancies cannot be lower than the current openings,Сул орон тоо нь одоо нээгдэж буй орон тооноос доогуур байж болохгүй,
{} is an invalid Attendance Status.,{} ирцийн төлөв буруу байна.,
Printed On,Хэвлэсэн,
No employee found,Ажилтан олдсонгүй,
Please setup Employee Naming System in Human Resource > HR Settings,Хүний нөөц > Хүний нөөцийн тохиргоо хэсэгт Ажилтны нэрсийн системийг тохируулна уу,
Please setup numbering series for Attendance via Setup > Numbering Series,Тохируулах > Дугаарлах цувралаар ирцийг дугаарлах цувралыг тохируулна уу,
Current Odometer Value should be greater than Last Odometer Value {0},Одоо байгаа зай хэмжигчний утга нь сүүлийн зай хэмжигчээс {0} их байх ёстой,
No additional expenses has been added,Нэмэлт зардал нэмээгүй,
{0} already exists for employee {1} and period {2},{1} ажилтан болон {2} хугацаанд {0} аль хэдийн байна,
Leaves Allocated,Навч хуваарилагдсан,
Leave Without Pay does not match with approved {} records,"""Төлбөргүй чөлөө"" нь батлагдсан {} бүртгэлтэй таарахгүй байна",
Income Tax Slab not set in Salary Structure Assignment: {0},Орлогын татварын хавтанг Цалингийн бүтцийн хуваарилалтад тохируулаагүй: {0},
Income Tax Slab: {0} is disabled,Орлогын татварын хавтан: {0} идэвхгүй болсон,
Income Tax Slab must be effective on or before Payroll Period Start Date: {0},Орлогын татварын хавтан нь Цалингийн хугацаа эхлэх өдөр эсвэл түүнээс өмнө хүчинтэй байх ёстой: {0},
No leave record found for employee {0} on {1},{1}-д {0} ажилтны амралтын бүртгэл олдсонгүй,
Row {0}: {1} is required in the expenses table to book an expense claim.,{0}-р мөр: Зардлын нэхэмжлэлийг захиалахын тулд зардлын хүснэгтэд {1} байх шаардлагатай.,
Set the default account for the {0} {1},{0} {1}-н өгөгдмөл бүртгэлийг тохируулах,
(Half Day),(Хагас өдөр),
Income Tax Slab,Орлогын татварын хавтан,
Row #{0}: Cannot set amount or formula for Salary Component {1} with Variable Based On Taxable Salary,Мөр #{0}: Татвар ногдох цалинд суурилсан хувьсагчтай Цалингийн {1} бүрэлдэхүүн хэсгийн хэмжээ эсвэл томъёог тохируулах боломжгүй,
Repay From Salary can be selected only for term loans,Цалингаас эргэн төлөлтийг зөвхөн хугацаатай зээлээр сонгох боломжтой,
Salary Component Account,Цалингийн бүрэлдэхүүн хэсгийн данс,
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Энэ горимыг сонгосон үед үндсэн банк / бэлэн мөнгөний данс Цалингийн журналын бичилтэд автоматаар шинэчлэгдэх болно.,
Result,Үр дүн,
Total Score,Нийт оноо,
Joining Date,Нэгдсэн огноо,
Publish on website,Вэбсайт дээр нийтлэх,
Application Status,Хэрэглээний статус,
IN,IN,
Remind Before,Өмнө нь сануул,
Reminded,Сануулсан,
Additional Salary,Нэмэлт цалин,
HR-ADS-.YY.-.MM.-,HR-ADS-.YY.-.MM.-,
Salary Component,Цалингийн бүрэлдэхүүн хэсэг,
Overwrite Salary Structure Amount,Цалингийн бүтцийн хэмжээг дарж бичнэ үү,
Deduct Full Tax on Selected Payroll Date,Сонгосон цалингийн огнооны татварыг бүрэн хасна,
Payroll Date,Цалингийн огноо,
Salary Component Type,Цалингийн бүрэлдэхүүн хэсгийн төрөл,
Appointment Letter,Томилох бичиг,
Appointment Date,Уулзалтын огноо,
Appointment Letter Template,Томилгооны захидлын загвар,
Closing Notes,Хаалтын тэмдэглэл,
Appointment Letter content,Томилгооны захидлын агуулга,
Appraisal,Үнэлгээ,
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.,
For Employee Name,Ажилтны нэрийн хувьд,
Goals,Зорилго,
Total Score (Out of 5),Нийт оноо (5-аас),
"Any other remarks, noteworthy effort that should go in the records.","Бусад тэмдэглэл, анхаарал татахуйц хүчин чармайлтыг бүртгэлд оруулах ёстой.",
Appraisal Goal,Үнэлгээний зорилго,
Key Responsibility Area,Хариуцлагын гол хэсэг,
Weightage (%),Жин (%),
Score (0-5),Оноо (0-5),
Score Earned,Авсан оноо,
Appraisal Template Title,Үнэлгээний загварын гарчиг,
Appraisal Template Goal,Үнэлгээний загварын зорилго,
KRA,KRA,
Key Performance Area,Гүйцэтгэлийн гол талбар,
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-,
On Leave,Амралт дээр,
Work From Home,Гэрээсээ ажиллах,
Leave Application,Өргөдөл гаргах,
Attendance Date,Ирсэн огноо,
Attendance Request,Ирцийн хүсэлт,
Late Entry,Орох хоцрогдол,
Early Exit,Эрт гарах,
Half Day Date,Хагас өдрийн огноо,
On Duty,Үүрэгт,
Explanation,Тайлбар,
Compensatory Leave Request,Нөхөн олговрын чөлөө авах хүсэлт,
Leave Allocation,Хуваарилалтаас гарах,
Worked On Holiday,Амралтын өдрөөр ажилласан,
Work From Date,Огнооноос эхлэн ажиллах,
Work End Date,Ажил дуусах огноо,
Email Sent To,Имэйлийг илгээсэн,
Select Users,Хэрэглэгчийг сонгоно уу,
Send Emails At,Имэйл илгээх,
Reminder,Сануулга,
Daily Work Summary Group User,Өдөр тутмын ажлын хураангуй бүлгийн хэрэглэгч,
email,имэйл,
Department Approver,Хэлтсийн батламжлагч,
Approver,Зөвшөөрөгч,
Designation Skill,Зориулалтын ур чадвар,
Skill,Ур чадвар,
Leave Policy,Бодлого орхих,
Salary Details,Цалингийн дэлгэрэнгүй мэдээлэл,
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-,
Claimed,Нэхэмжлэгдсэн,
Employee Attendance Tool,Ажилчдын ирцийн хэрэгсэл,
Unmarked Attendance,Тэмдэглэгдээгүй ирц,
Employees HTML,Ажилчдын HTML,
Marked Attendance,Тэмдэглэгдсэн ирц,
Marked Attendance HTML,Тэмдэглэгдсэн ирц HTML,
Employee Benefit Application,Ажилчдын тэтгэмжийн өргөдөл,
Max Benefits (Yearly),Хамгийн их ашиг тус (жил бүр),
Remaining Benefits (Yearly),Үлдсэн ашиг тус (жил бүр),
Payroll Period,Цалингийн хугацаа,
Dispensed Amount (Pro-rated),Олгосон дүн (тооцоотой),
Employee Benefit Application Detail,Ажилтны тэтгэмжийн өргөдлийн дэлгэрэнгүй,
Earning Component,Орлогын бүрэлдэхүүн хэсэг,
Pay Against Benefit Claim,Тэтгэмжийн нэхэмжлэлийн эсрэг төлөх,
Max Benefit Amount,Тэтгэмжийн дээд хэмжээ,
Employee Benefit Claim,Ажилтны тэтгэмжийн нэхэмжлэл,
Claim Date,Нэхэмжлэлийн огноо,
Claim Benefit For,Нэхэмжлэлийн тэтгэмж,
Max Amount Eligible,Боломжит дээд хэмжээ,
Expense Proof,Зардлын баталгаа,
Employee Boarding Activity,Ажилчдын дотуур байрны үйл ажиллагаа,
Activity Name,Үйл ажиллагааны нэр,
Required for Employee Creation,Ажилтан бий болгоход шаардлагатай,
Applicable in the case of Employee Onboarding,Ажилтныг ажилд авах тохиолдолд хамаарна,
