Friday,Баасан гараг,
From,-аас,
Full,Бүрэн,
Full Name,Бүтэн нэр,
Further nodes can be only created under 'Group' type nodes,"Цаашдын зангилаануудыг зөвхөн ""Бүлэг"" төрлийн зангилааны дор үүсгэж болно",
Gender,Хүйс,
GitHub Sync ID,GitHub Sync ID,
Guest,Зочин,
Half Day,Хагас өдөр,
Half Yearly,Хагас жил бүр,
High,Өндөр,
Hourly,Цаг тутамд,
Hub Sync ID,Hub Sync ID,
IP Address,IP хаяг,
Image,Зураг,
Image View,Зураг харах,
Import Data,Мэдээлэл импортлох,
Import Log,Импортын бүртгэл,
Inactive,Идэвхгүй,
Insert,Оруулах,
Interests,Сонирхол,
Introduction,Оршил,
Is Active,Идэвхтэй байна,
Is Completed,Дууссан,
Is Default,Өгөгдмөл,
Kanban Board,Канбаны зөвлөл,
Label,Шошго,
Language Name,Хэлний нэр,
Last Name,Овог,
Leaderboard,Тэргүүлэгчдийн самбар,
Letter Head,Захидлын толгой,
Level,Түвшин,
Limit,Хязгаар,
Log,Бүртгэл,
Logs,Бүртгэл,
Low,Бага,
Maintenance Manager,Засвар үйлчилгээний менежер,
Maintenance User,Засвар үйлчилгээ хэрэглэгч,
Male,Эрэгтэй,
Mandatory,Заавал,
Mapping,Зураглал,
Mapping Type,Газрын зургийн төрөл,
Medium,Дунд,
Meeting,Уулзалт,
Message Examples,Мессежийн жишээ,
Method,Арга,
Middle Name,Дунд нэр,
Middle Name (Optional),Дунд нэр (заавал биш),
Monday,Даваа гараг,
Monthly,Сар бүр,
More,Илүү,
More Information,Нэмэлт мэдээлэл,
More...,Илүү...,
Move,Хөдлөх,
My Account,Миний данс,
New Address,Шинэ хаяг,
New Contact,Шинэ харилцагч,
Next,Дараачийн,
No Data,Өгөгдөл алга,
No address added yet.,Одоогоор хаяг нэмээгүй байна.,
No contacts added yet.,Одоогоор харилцагч нэмээгүй байна.,
No items found.,Ямар ч зүйл олдсонгүй.,
None,Байхгүй,
Not Permitted,Зөвшөөрөгдөөгүй,
Not active,Идэвхгүй байна,
Notes,Тэмдэглэл,
Number,Тоо,
Online,Онлайн,
Operation,Үйл ажиллагаа,
Options,Сонголтууд,
Other,Бусад,
Owner,Эзэмшигч,
Page Missing or Moved,Хуудас байхгүй эсвэл зөөгдсөн,
Parameter,Параметр,
Password,Нууц үг,
Payment Gateway,Төлбөрийн гарц,
Payment Gateway Name,Төлбөрийн гарцын нэр,
Payments,Төлбөр,
Period,Хугацаа,
Pincode,PIN код,
Plan Name,Төлөвлөгөөний нэр,
Please enable pop-ups,Попап цонхыг идэвхжүүлнэ үү,
Please select Company,Компани сонгоно уу,
Please select {0},{0}-г сонгоно уу,
Please set Email Address,Имэйл хаягаа тохируулна уу,
Portal,Портал,
Portal Settings,Порталын тохиргоо,
Preview,Урьдчилан үзэх,
Primary,Үндсэн,
Print Format,Хэвлэх формат,
Print Settings,Хэвлэх тохиргоо,
Print taxes with zero amount,Татварыг тэг дүнтэй хэвлэ,
Private,Хувийн,
Property,Өмч,
Public,Олон нийтийн,
Published,Нийтэлсэн,
Purchase Manager,Худалдан авалтын менежер,
Purchase Master Manager,Худалдан авалтын мастер менежер,
Purchase User,Хэрэглэгч худалдан авах,
Query Options,Асуулгын сонголтууд,
Range,Хүрээ,
Rating,Үнэлгээ,
Received,Хүлээн авсан,
Recipients,Хүлээн авагчид,
Redirect URL,Дахин чиглүүлэх URL,
Reference,Лавлагаа,
Reference Date,Лавлагааны огноо,
Reference Document,Лавлах баримт бичиг,
Reference Document Type,Лавлах баримт бичгийн төрөл,
Reference Owner,Лавлагаа эзэмшигч,
Reference Type,Лавлах төрөл,
Refresh Token,Токеныг шинэчлэх,
Region,Бүс нутаг,
Rejected,Татгалзсан,
Reopen,Дахин нээх,
Replied,гэж хариулав,
Report,Тайлан,
Report Builder,Тайлан бүтээгч,
Report Type,Тайлангийн төрөл,
Reports,Тайлангууд,
Response,Хариулт,
Role,Үүрэг,
Route,Маршрут,
Sales Manager,Борлуулалтын менежер,
Sales Master Manager,Борлуулалтын мастер менежер,
Sales User,Борлуулалтын хэрэглэгч,
Salutation,Баяртай,
Sample,Дээж,
Saturday,Бямба гариг,
Saved,Хадгалсан,
Scan Barcode,Бар кодыг сканнердах,
Scheduled,Төлөвлөсөн,
Search,Хайх,
Secret Key,Нууц түлхүүр,
Select,Сонго,
Select DocType,DocType-г сонгоно уу,
Send Now,Одоо илгээх,
Sent,Илгээсэн,
Series {0} already used in {1},Цуврал {0} аль хэдийн {1}-д ашиглагдаж байсан,
Service,Үйлчилгээ,
Set as Default,Өгөгдмөл болгож тохируулах,
Settings,Тохиргоо,
Shipping,Хүргэлт,
Short Name,Богино нэр,
Slideshow,Слайд шоу,
Some information is missing,Зарим мэдээлэл дутуу байна,
Source,Эх сурвалж,
Source Name,Эх сурвалжийн нэр,
Standard,Стандарт,
Start Date,Эхлэх өдөр,
Start Import,Импортыг эхлүүлэх,
State,муж,
Stopped,Зогссон,
Subject,Сэдэв,
Submit,Илгээх,
Successful,Амжилттай,
Summary,Дүгнэлт,
Sunday,Ням гараг,
System Manager,Системийн менежер,
Target,Зорилтот,
Task,Даалгавар,
Tax Category,Татварын ангилал,
Test,Туршилт,
Thank you,Баярлалаа,
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,Таны хайж буй хуудас байхгүй байна. Энэ нь зөөгдсөн эсвэл холбоос дээр үсгийн алдаа байгаатай холбоотой байж болно.,
Timespan,Цаг алгасал,
To,руу,
To Date,Болзох,
Tools,Багаж хэрэгсэл,
Traceback,Мөшгих,
URL,URL,
Unsubscribed,Бүртгэлээ цуцалсан,
Use Sandbox,Sandbox ашиглах,
User,Хэрэглэгч,
User ID,Хэрэглэгчийн ID,
Users,Хэрэглэгчид,
Validity,Хүчин төгөлдөр байх,
Warning,Анхааруулга,
Website,Вэб сайт,
Website Manager,Вэбсайт менежер,
Website Settings,Вэб сайтын тохиргоо,
Wednesday,Лхагва гараг,
Week,Долоо хоног,
Weekdays,Ажлын өдрүүд,
Weekly,Долоо хоног бүр,
Welcome email sent,Тавтай морилно уу имэйл илгээсэн,
Workflow,Ажлын урсгал,
You need to be logged in to access this page,Та энэ хуудсанд нэвтрэхийн тулд нэвтэрсэн байх шаардлагатай,
old_parent,хуучин_эцэг эх,
{0} is mandatory,{0} заавал байх ёстой,
 to your browser,таны хөтөч рүү,
"""Company History""","""Компанийн түүх""",
"""Parent"" signifies the parent table in which this row must be added","""Эцэг эх"" гэдэг нь энэ мөрийг нэмэх ёстой эх хүснэгтийг илэрхийлнэ",
"""Team Members"" or ""Management""","""Багийн гишүүд"" эсвэл ""Удирдлага""",
&lt;head&gt; HTML,<head> HTML,
'In Global Search' not allowed for type {0} in row {1},'Глобал хайлтад'-ыг {1} мөрөнд {0} бичихийг зөвшөөрөхгүй,
'In List View' not allowed for type {0} in row {1},'Жагсаалт харах'-ыг {1} эгнээний {0} төрөлд зөвшөөрөхгүй,
'Recipients' not specified,'Хүлээн авагчид' тодорхойлогдоогүй,
(Ctrl + G),(Ctrl + G),
** Failed: {0} to {1}: {2},** Амжилтгүй болсон: {0}-с {1}: {2},
**Currency** Master,**Валют** Мастер,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Ноорог; 1 - Илгээсэн; 2 - Цуцлагдсан,
0 is highest,0 бол хамгийн өндөр,
1 Currency = [?] Fraction\\nFor e.g. 1 USD = 100 Cent,1 Валют = [?] Бутархай\\nЖишээ нь: 1 доллар = 100 цент,
1 comment,1 сэтгэгдэл,
1 hour ago,1 цагийн өмнө,
1 minute ago,1 минутын өмнө,
1 month ago,1 сарын өмнө,
1 year ago,1 жилийн өмнө,
; not allowed in condition,; нөхцөлд зөвшөөрөхгүй,
"<h4>Default Template</h4>\\n<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>\\n<pre><code>{{ address_line1 }}&lt;br&gt;\\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\\n{{ city }}&lt;br&gt;\\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\\n{{ country }}&lt;br&gt;\\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\\n</code></pre>","<h4>Өгөгдмөл загвар</h4>\\n<p><a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> болон Хаягийн бүх талбарыг ашигладаг (үүнд Хэрэв байгаа бол тусгай талбарууд) боломжтой болно</p>\\n<pre><code>{{ address_line1 }}<br>\\n{% if address_line2 %}{{ address_line2 }}<br>{% endif -%} \\n{{ хот }}<br>\\n{% бол төлөв %}{{ төлөв }}<br>{% endif -%}\\n{% бол пин код %} ПИН: {{ пин код }}<br> {% endif -%}\\n{{ улс }}<br>\\n{% бол утас %}Утас: {{ утас }}<br>{% endif -%}\\n{% бол факс %}Факс: {{ факс }}<br>{% endif -%}\\n{% if email_id %}Имэйл: {{ email_id }}<br>{% endif -%}\\n</code></pre>",
A Lead with this Email Address should exist,Энэ имэйл хаягтай удирдагч байх ёстой,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Хэрэглэгч зөвшөөрсний дараа Client App-д хандах боломжтой нөөцийн жагсаалт.<br> ж.нь. төсөл,
A log of request errors,Хүсэлтийн алдааны бүртгэл,
A new account has been created for you at {0},{0}-д танд шинэ бүртгэл үүсгэсэн.,
A symbol for this currency. For e.g. $,Энэ мөнгөн тэмдэгтийн тэмдэг. Жишээ нь: доллар,
A word by itself is easy to guess.,Нэг үг дангаараа таахад хялбар байдаг.,
API Endpoint Args,API Endpoint Args,
API Key cannot be  regenerated,API түлхүүрийг дахин үүсгэх боломжгүй,
API Password,API нууц үг,
API Secret,API нууц,
API Username,API хэрэглэгчийн нэр,
ASC,ASC,
About Us Settings,Бидний тухай Тохиргоо,
About Us Team Member,Бидний тухай Багийн гишүүн,
Accept Payment,Төлбөрийг хүлээн авах,
Access Key ID,Түлхүүр ID-д хандах,
Access Token URL,Токен URL руу нэвтрэх,
Action Failed,Үйлдэл амжилтгүй боллоо,
Action Timeout (Seconds),Үйлдлийн завсарлага (секунд),
"Actions for workflow (e.g. Approve,,
Active Domains,,
Active Sessions,,
Activity Log,,
Activity log of all users.,,
Add / Manage Email Domains.,,
Add / Update,,
Add A New Rule,,
Add Another Comment,,
Add Attachment,,
Add Column,,
Add Contact,,
Add Contacts,,
Add Filter,,
Add Group,,
Add New Permission Rule,,
Add Review,,
Add Signature,,
Add Subscribers,,
Add Total Row,,
Add Unsubscribe Link,,
Add User Permissions,,
Add a New Role,,
Add a column,,
Add a comment,,
Add a new section,,
Add a tag ...,,
Add all roles,,
Add custom forms.,,
Add custom javascript to forms.,,
Add fields to forms.,,
Add meta tags to your web pages,,
Add script for Child Table,,
Add to table,,
Add your own translations,,
Added HTML in the &lt;head&gt; section of the web page","Ажлын урсгалд зориулсан үйлдлүүд (жишээ нь: Зөвшөөрөх,,
Идэвхтэй домэйнууд,,
Идэвхтэй хуралдаанууд,,
Үйл ажиллагааны бүртгэл,,
Бүх хэрэглэгчдийн үйл ажиллагааны бүртгэл.,,
Имэйл домэйн нэмэх / удирдах.,,
Нэмэх / шинэчлэх,,
Шинэ дүрэм нэмэх,,
Өөр сэтгэгдэл нэмэх,,
Хавсралт нэмэх,,
Багана нэмэх,,
Харилцагч нэмэх,,
Харилцагч нэмэх,,
Шүүлтүүр нэмэх,,
Бүлэг нэмэх,,
Шинэ зөвшөөрлийн дүрэм нэмэх,,
Шүүмж нэмэх,,
Гарын үсэг нэмэх,,
Захиалагч нэмэх,,
Нийт мөр нэмэх,,
Бүртгэлээ цуцлах холбоос нэмэх,,
Хэрэглэгчийн зөвшөөрөл нэмэх,,
Шинэ үүрэг нэмэх,,
Багана нэмэх,,
Сэтгэгдэл нэмэх,,
Шинэ хэсэг нэмэх,,
Шошго нэмэх ...,,
Бүх дүрийг нэмэх,,
Захиалгат маягт нэмэх.,,
Маягтуудад захиалгат JavaScript нэмэх.,,
Маягтуудад талбар нэмэх.,,
Вэб хуудсандаа мета шошго нэмэх,,
Хүүхдийн хүснэгтэд скрипт нэмэх,,
Хүснэгтэнд нэмэх,,
Өөрийнхөө орчуулгыг нэмэх,,
Вэб хуудасны <head> хэсэгт HTML нэмсэн",
Added {0},{0} нэмсэн,
Adding System Manager to this User as there must be atleast one System Manager,Хамгийн багадаа нэг Системийн менежер байх ёстой тул энэ хэрэглэгчдэд Системийн менежерийг нэмж байна,
Additional Permissions,Нэмэлт зөвшөөрөл,
Address Template,Хаягийн загвар,
Address Title is mandatory.,Хаягийн гарчиг заавал байх ёстой.,
Address and other legal information you may want to put in the footer.,Хаяг болон бусад хууль эрх зүйн мэдээллийг хөл хэсэгт оруулахыг хүсч болно.,
Addresses And Contacts,"Хаяг, холбоо барих хаяг",
Adds a client custom script to a DocType,DocType-д үйлчлүүлэгчийн захиалгат скрипт нэмнэ,
Adds a custom field to a DocType,DocType-д тусгай талбар нэмнэ,
Admin,админ,
Administrator Logged In,Админ нэвтэрсэн,
Administrator accessed {0} on {1} via IP Address {2}.,Администратор {2} IP хаягаар {1}-д {0} хандсан.,
Advanced,Дэвшилтэт,
Advanced Control,Нарийвчилсан хяналт,
Advanced Search,Нарийвчилсан хайлт,
Align Labels to the Right,Шошгонуудыг баруун тийш зэрэгцүүлнэ үү,
Align Value,Утгыг тэгшлэх,
All Images attached to Website Slideshow should be public,Вэбсайт слайд шоунд хавсаргасан бүх зургууд олон нийтэд нээлттэй байх ёстой,
All customizations will be removed. Please confirm.,Бүх тохиргоог устгах болно. Баталгаажуулна уу.,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"",,
All-uppercase is almost as easy to guess as all-lowercase.,,
Allocated To,,
Allow,,
Allow Bulk Edit,,
Allow Comments,,
Allow Consecutive Login Attempts ,,
Allow Dropbox Access,,
Allow Edit,,
Allow Guest to View,,
Allow Import (via Data Import Tool),,
Allow Incomplete Forms,,
Allow Login After Fail,,
Allow Login using Mobile Number,,
Allow Login using User Name,,
Allow Modules,,
Allow Multiple,,
Allow Print,,
Allow Print for Cancelled,,
Allow Print for Draft,,
Allow Read On All Link Options,,
Allow Rename,,
Allow Roles,,
Allow Self Approval,,
Allow approval for creator of the document,,
Allow events in timeline,,
Allow in Quick Entry,,
Allow on Submit,,
Allow only one session per user,,
Allow page break inside tables,,
Allow saving if mandatory fields are not filled,,
Allow user to login only after this hour (0-24),,
Allow user to login only before this hour (0-24),,
Allowed,,
Allowed In Mentions,,
Allowing DocType","Ажлын урсгалын бүх боломжит төлөв ба ажлын урсгалын үүрэг. Баримт бичгийн статусын сонголтууд: 0 нь ""Хадгалагдсан"",
Бүх том үсгийг таахад бараг бүх жижиг үсэгтэй адил хялбар байдаг.,,
Хуваарилагдсан,,
Зөвшөөрөх,,
Бөөнөөр засварлахыг зөвшөөрөх,,
Сэтгэгдэл бичихийг зөвшөөрөх,,
Нэвтрэх дараалсан оролдлогыг зөвшөөрөх,,
Dropbox хандалтыг зөвшөөрөх,,
Засахыг зөвшөөрөх,,
Зочин үзэхийг зөвшөөрөх,,
Импортыг зөвшөөрөх (Өгөгдөл импортын хэрэгслээр дамжуулан),
Бүрэн бус маягтыг зөвшөөрөх,,
Амжилтгүй болсны дараа нэвтрэхийг зөвшөөрөх,
Гар утасны дугаар ашиглан нэвтрэхийг зөвшөөрөх,,
Хэрэглэгчийн нэрээр нэвтрэхийг зөвшөөрөх,,
Модулуудыг зөвшөөрөх,,
Олон,, зөвшөөрөх
Хэвлэхийг зөвшөөрөх,,
Цуцлагдсаныг хэвлэхийг зөвшөөрөх,,
Ноорог хэвлэхийг зөвшөөрөх,,
Бүх холбоосын сонголтуудыг уншихыг зөвшөөрөх,,
Нэр өөрчлөхийг зөвшөөрөх,,
Дүрүүдийг зөвшөөрөх,,
Өөрийгөө батлахыг зөвшөөрөх,,
Баримт бичгийг бүтээгчид зөвшөөрөл олгох,
Он цагийн хэлхээс дэх үйл явдлыг зөвшөөрөх,,
Түргэн нэвтрэхийг зөвшөөрөх,,
Илгээхийг зөвшөөрөх,,
Хэрэглэгч бүрт зөвхөн нэг сессийг зөвшөөрөх,
Хүснэгт дотор хуудас таслахыг зөвшөөрөх,,
Шаардлагатай талбаруудыг бөглөөгүй бол хадгалахыг зөвшөөрөх,,
Зөвхөн энэ цагаас хойш хэрэглэгчдэд нэвтрэхийг зөвшөөрөх (0-24),,
Хэрэглэгчид зөвхөн энэ цагаас өмнө нэвтрэхийг зөвшөөрөх (0-24),,
Зөвшөөрөгдсөн,,
Дурдахыг зөвшөөрсөн,,
DocType-г зөвшөөрч байна",
Already Registered,Аль хэдийн бүртгэгдсэн,
Also adding the dependent currency field {0},Мөн хамааралтай валютын талбарыг нэмж байна {0},
"Always add ""Draft"" Heading for printing draft documents","Баримт бичгийн ноорог хэвлэхийн тулд ""Ноорог"" гарчгийг үргэлж нэмнэ үү",
Always use Account's Email Address as Sender,Бүртгэлийн имэйл хаягийг илгээгчээр үргэлж ашиглаарай,
Always use Account's Name as Sender's Name,Бүртгэлийн нэрийг илгээгчийн нэр болгон үргэлж ашиглаарай,
Amend,Өөрчлөлт оруулах,
Amending,Нэмэлт өөрчлөлт оруулах,
Amount Based On Field,Талбар дээр үндэслэсэн дүн,
Amount Field,Дүн талбар,
Amount must be greater than 0.,Дүн нь 0-ээс их байх ёстой.,
An error occured during the payment process. Please contact us.,Төлбөрийн явцад алдаа гарлаа. Бидэнтэй холбоо барина уу.,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico өргөтгөлтэй дүрс файл. 16 x 16 px байх ёстой. Фавикон үүсгэгч ашиглан үүсгэсэн. [favicon-generator.org],
Ancestors Of,Өвөг дээдэс,
Another transaction is blocking this one. Please try again in a few seconds.,Өөр нэг гүйлгээ үүнийг хааж байна. Хэдэн секундын дараа дахин оролдоно уу.,
"Another {0} with name {1} exists,,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,,
Apart from System Manager","{1} нэртэй өөр {0} байгаа,,
Ямар ч мөрт суурилсан принтерийн хэлийг ашиглаж болно. Түүхий командуудыг бичихийн тулд принтер үйлдвэрлэгчээс өгсөн принтерийн эх хэлний мэдлэгийг шаарддаг. Принтерийн командыг хэрхэн бичих талаар принтер үйлдвэрлэгчээс өгсөн хөгжүүлэгчийн гарын авлагаас үзнэ үү. Эдгээр командуудыг Jinja Templating Language ашиглан сервер талд гүйцэтгэдэг.,,
Системийн менежерээс гадна",
Api Access,API хандалт,
App,Апп,
App Access Key,Апп хандалтын түлхүүр,
App Client ID,App Client ID,
App Client Secret,Програмын үйлчлүүлэгчийн нууц,
App Name,Апп нэр,
App Secret Key,Апп нууц түлхүүр,
App not found,Апп олдсонгүй,
App {0} already installed,{0} програмыг аль хэдийн суулгасан,
App {0} is not installed,{0} апп суулгаагүй байна,
Append To,Хавсаргах,
Append To can be one of {0},Хавсаргах нь {0}-н нэг байж болно,
Append To is mandatory for incoming mails,Ирж буй захидлуудад Append to оруулах шаардлагатай,
"Append as communication against this DocType (must have fields,,
Applicable Document Types,,
Apply,,
Apply Strict User Permissions,,
Apply To All Document Types,,
Apply this rule if the User is the Owner,,
Apply to all Documents Types,,
Appreciate,,
Appreciation,,
Archive,,
Archived,,
Archived Columns,,
Are you sure you want to delete the attachment?,,
Are you sure you want to relink this communication to {0}?,,
Are you sure?,,
Arial,,
As a best practice","Энэ DocType-ийн эсрэг харилцаа холбоо болгон хавсаргана (талбарууд байх ёстой,,
Холбогдох баримт бичгийн төрлүүд,,
Өргөдөл гаргах,,
Хэрэглэгчийн хатуу зөвшөөрлийг хэрэглэх,,
Бүх төрлийн баримт бичигт хэрэглэх,,
Хэрэв хэрэглэгч нь эзэмшигч бол энэ дүрмийг хэрэгжүүлнэ үү,
Бүх төрлийн баримт бичигт хэрэглэх,,
Хүндэтгэсэн,,
Талархал,,
Архив,,
Архивлагдсан,,
Архивласан баганууд,,
Та хавсралтыг устгахдаа итгэлтэй байна уу?,,
Та энэ харилцааг {0} руу дахин холбохыг хүсэж байна уу?,,
Чи итгэлтэй байна уу?,,
Arial,,
Шилдэг туршлагын хувьд",
Assign Condition,Нөхцөлийг оноох,
Assign To Users,Хэрэглэгчдэд оноох,
